2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over in employment the week before the census,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over
Leeds 060C,E01011342,667,96,217,66,56,14,4,3,11
Leeds 060D,E01011346,757,97,215,76,65,31,5,6,11
Leeds 061A,E01011341,1107,81,310,127,89,29,8,3,7
Leeds 061B,E01011343,1057,77,210,138,93,13,13,3,13
Leeds 061C,E01011345,664,57,91,133,76,17,5,1,4
Leeds 061D,E01011666,739,53,121,125,74,26,5,5,7
Leeds 062A,E01011585,693,114,47,157,55,9,5,3,3
Leeds 062B,E01011587,983,95,72,213,84,26,6,8,4
Leeds 062C,E01011594,732,93,45,147,77,11,2,6,13
Leeds 062D,E01011596,913,122,65,202,60,19,2,4,10
Leeds 062E,E01011598,937,73,54,202,85,23,5,11,5
Leeds 063B,E01011678,1027,227,150,64,53,20,9,14,84
Leeds 063D,E01011681,514,154,70,65,20,12,4,5,7
Leeds 063F,E01035044,597,129,72,24,31,22,4,5,52
Leeds 063G,E01035045,550,132,52,31,21,12,2,4,9
Leeds 064A,E01011338,758,209,153,62,37,21,7,9,38
Leeds 064B,E01011673,674,174,168,47,59,18,18,1,7
Leeds 064D,E01011677,581,106,149,36,69,6,4,5,13
Leeds 064E,E01033031,804,281,73,28,33,11,4,15,10
Leeds 064F,E01033035,545,174,87,27,63,7,5,2,8
Leeds 065A,E01011344,701,116,210,60,50,10,5,4,13
Leeds 065B,E01011347,681,119,197,63,52,13,2,1,9
Leeds 065C,E01011348,662,126,156,57,66,13,8,3,6
Leeds 065D,E01011349,690,207,144,67,62,15,6,1,11
Leeds 066A,E01011586,847,60,121,155,88,14,1,3,6
Leeds 066B,E01011595,1035,55,100,192,108,23,7,14,13
Leeds 066C,E01011597,721,66,104,125,81,17,4,4,1
Leeds 066D,E01011599,871,110,76,182,73,5,8,4,7
Leeds 067B,E01011287,706,66,111,164,58,10,5,2,4
Leeds 067G,E01032499,864,90,178,128,45,12,7,3,9
Leeds 067H,E01032500,641,90,173,88,38,11,1,4,15
Leeds 067I,E01032606,1068,105,228,217,56,12,3,9,13
Leeds 067J,E01032607,659,53,189,81,33,12,1,3,6
Leeds 067K,E01032608,605,67,130,109,44,13,5,6,4
Leeds 068A,E01011608,632,80,107,153,50,10,5,3,2
Leeds 068B,E01011609,651,110,67,158,39,15,1,5,4
Leeds 068C,E01011610,809,99,49,211,42,9,6,3,5
Leeds 068D,E01011611,614,107,72,141,35,7,2,2,3
Leeds 068E,E01011614,1017,118,95,248,68,16,7,3,5
Leeds 069A,E01011413,800,61,94,118,78,26,6,2,6
Leeds 069B,E01011415,822,52,148,106,61,13,10,3,6
Leeds 069C,E01011416,782,55,122,115,66,18,3,5,5
Leeds 069D,E01011417,704,47,117,114,53,9,3,3,3
Leeds 069E,E01011420,565,26,90,91,41,16,4,1,6
Leeds 070A,E01011615,734,159,154,69,43,23,3,4,6
